,loc,datetime,170122,170123,total_cnts
0,KS_WICHITA,2020-07-10,51.0,48.0,99.0
1,KS_WICHITA,2020-07-17,153.0,179.0,332.0
2,KS_WICHITA,2020-07-24,152.0,221.0,373.0
3,KS_WICHITA,2020-07-31,184.0,239.0,423.0
4,KS_WICHITA,2020-08-07,172.0,224.0,396.0
5,KS_WICHITA,2020-08-14,191.0,158.0,349.0
6,KS_WICHITA,2020-08-21,178.0,177.0,355.0
7,KS_WICHITA,2020-08-28,179.0,137.0,316.0
8,KS_WICHITA,2020-09-04,198.0,155.0,353.0
9,KS_WICHITA,2020-09-11,135.0,132.0,267.0
10,KS_WICHITA,2020-09-18,175.0,115.0,290.0
11,KS_WICHITA,2020-09-25,109.0,191.0,300.0
12,KS_WICHITA,2020-10-02,128.0,174.0,302.0
13,KS_WICHITA,2020-10-09,300.0,181.0,481.0
14,KS_WICHITA,2020-10-16,304.0,171.0,485.0
15,KS_WICHITA,2020-10-23,373.0,236.0,609.0
16,KS_WICHITA,2020-10-30,301.0,285.0,586.0
17,KS_WICHITA,2020-11-06,372.0,398.0,770.0
18,KS_WICHITA,2020-11-13,812.0,538.0,1350.0
19,KS_WICHITA,2020-11-20,863.0,596.0,1459.0
20,KS_WICHITA,2020-11-27,864.0,624.0,1488.0
21,KS_WICHITA,2020-12-04,706.0,597.0,1314.0
22,KS_WICHITA,2020-12-11,746.0,591.0,1342.0
23,KS_WICHITA,2020-12-18,742.0,610.0,1352.0
24,KS_WICHITA,2020-12-25,617.0,573.0,1190.0
25,KS_WICHITA,2021-01-01,657.0,557.0,1214.0
26,KS_WICHITA,2021-01-08,597.0,564.0,1161.0
27,KS_WICHITA,2021-01-15,454.0,576.0,1030.0
28,KS_WICHITA,2021-01-22,428.0,569.0,997.0
29,KS_WICHITA,2021-01-29,362.0,437.0,799.0
30,KS_WICHITA,2021-02-05,298.0,384.0,682.0
31,KS_WICHITA,2021-02-12,216.0,276.0,492.0
32,KS_WICHITA,2021-02-19,215.0,194.0,416.0
33,KS_WICHITA,2021-02-26,133.0,135.0,268.0
34,KS_WICHITA,2021-03-05,123.0,99.0,222.0
35,KS_WICHITA,2021-03-12,106.0,97.0,203.0
36,KS_WICHITA,2021-03-19,83.0,64.0,147.0
37,KS_WICHITA,2021-03-26,56.0,46.0,102.0
38,KS_WICHITA,2021-04-02,88.0,22.0,110.0
39,KS_WICHITA,2021-04-09,96.0,52.0,148.0
40,KS_WICHITA,2021-04-16,82.0,87.0,169.0
41,KS_WICHITA,2021-04-23,230.0,98.0,328.0
42,KS_WICHITA,2021-04-30,206.0,152.0,358.0
43,KS_WICHITA,2021-05-07,192.0,143.0,335.0
44,KS_WICHITA,2021-05-14,149.0,121.0,270.0
45,KS_WICHITA,2021-05-21,135.0,106.0,241.0
46,KS_WICHITA,2021-05-28,88.0,111.0,199.0
47,KS_WICHITA,2021-06-04,56.0,80.0,136.0
48,KS_WICHITA,2021-06-11,80.0,110.0,190.0
49,KS_WICHITA,2021-06-18,138.0,98.0,236.0
50,KS_WICHITA,2021-06-25,94.0,75.0,169.0
51,KS_WICHITA,2021-07-02,66.0,70.0,136.0
52,KS_WICHITA,2021-07-09,103.0,85.0,188.0
53,KS_WICHITA,2021-07-16,244.0,108.0,352.0
54,KS_WICHITA,2021-07-23,299.0,154.0,453.0
55,KS_WICHITA,2021-07-30,316.0,259.0,575.0
56,KS_WICHITA,2021-08-06,384.0,391.0,775.0
57,KS_WICHITA,2021-08-13,435.0,442.0,877.0
58,KS_WICHITA,2021-08-20,537.0,508.0,1045.0
59,KS_WICHITA,2021-08-27,520.0,513.0,1033.0
60,KS_WICHITA,2021-09-03,527.0,539.0,1066.0
61,KS_WICHITA,2021-09-10,577.0,529.0,1106.0
62,KS_WICHITA,2021-09-17,528.0,520.0,1048.0
63,KS_WICHITA,2021-09-24,435.0,481.0,916.0
64,KS_WICHITA,2021-10-01,415.0,382.0,797.0
65,KS_WICHITA,2021-10-08,384.0,395.0,779.0
66,KS_WICHITA,2021-10-15,401.0,399.0,800.0
67,KS_WICHITA,2021-10-22,332.0,353.0,685.0
68,KS_WICHITA,2021-10-29,270.0,291.0,561.0
69,KS_WICHITA,2021-11-05,209.0,321.0,530.0
70,KS_WICHITA,2021-11-12,241.0,316.0,557.0
71,KS_WICHITA,2021-11-19,325.0,375.0,700.0
72,KS_WICHITA,2021-11-26,443.0,377.0,820.0
73,KS_WICHITA,2021-12-03,457.0,431.0,888.0
74,KS_WICHITA,2021-12-10,549.0,373.0,922.0
75,KS_WICHITA,2021-12-17,555.0,432.0,994.0
76,KS_WICHITA,2021-12-24,576.0,419.0,1000.0
77,KS_WICHITA,2021-12-31,648.0,505.0,1153.0
78,KS_WICHITA,2022-01-07,868.0,639.0,1516.0
79,KS_WICHITA,2022-01-14,953.0,715.0,1719.0
80,KS_WICHITA,2022-01-21,974.0,699.0,1717.0
81,KS_WICHITA,2022-01-28,804.0,578.0,1423.0
82,KS_WICHITA,2022-02-04,559.0,496.0,1081.0
83,KS_WICHITA,2022-02-11,324.0,360.0,702.0
84,KS_WICHITA,2022-02-18,176.0,301.0,484.0
85,KS_WICHITA,2022-02-25,179.0,215.0,401.0
86,KS_WICHITA,2022-03-04,98.0,136.0,234.0
87,KS_WICHITA,2022-03-11,38.0,74.0,123.0
88,KS_WICHITA,2022-03-18,21.0,43.0,68.0
89,KS_WICHITA,2022-03-25,36.0,34.0,70.0
90,KS_WICHITA,2022-04-01,36.0,29.0,65.0
91,KS_WICHITA,2022-04-08,28.0,23.0,51.0
92,KS_WICHITA,2022-04-15,21.0,5.0,26.0
93,KS_WICHITA,2022-04-22,22.0,11.0,33.0
94,KS_WICHITA,2022-04-29,21.0,11.0,32.0
95,KS_WICHITA,2022-05-06,19.0,16.0,44.0
96,KS_WICHITA,2022-05-13,19.0,30.0,49.0
97,KS_WICHITA,2022-05-20,55.0,27.0,82.0
98,KS_WICHITA,2022-05-27,70.0,50.0,131.0
99,KS_WICHITA,2022-06-03,60.0,64.0,135.0
100,KS_WICHITA,2022-06-10,86.0,62.0,148.0
101,KS_WICHITA,2022-06-17,149.0,71.0,224.0
102,KS_WICHITA,2022-06-24,176.0,93.0,281.0
103,KS_WICHITA,2022-07-01,240.0,124.0,369.0
104,KS_WICHITA,2022-07-08,235.0,153.0,397.0
105,KS_WICHITA,2022-07-15,232.0,149.0,394.0
106,KS_WICHITA,2022-07-22,212.0,151.0,374.0
107,KS_WICHITA,2022-07-29,182.0,143.0,340.0
108,KS_WICHITA,2022-08-05,116.0,176.0,305.0
109,KS_WICHITA,2022-08-12,124.0,157.0,291.0
110,KS_WICHITA,2022-08-19,107.0,147.0,254.0
111,KS_WICHITA,2022-08-26,110.0,170.0,280.0
112,KS_WICHITA,2022-09-02,66.0,132.0,214.0
113,KS_WICHITA,2022-09-09,81.0,97.0,187.0
114,KS_WICHITA,2022-09-16,68.0,91.0,163.0
115,KS_WICHITA,2022-09-23,64.0,85.0,158.0
116,KS_WICHITA,2022-09-30,57.0,45.0,114.0
117,KS_WICHITA,2022-10-07,51.0,40.0,91.0
118,KS_WICHITA,2022-10-14,44.0,42.0,92.0
119,KS_WICHITA,2022-10-21,47.0,52.0,115.0
120,KS_WICHITA,2022-10-28,57.0,68.0,129.0
121,KS_WICHITA,2022-11-04,48.0,51.0,110.0
122,KS_WICHITA,2022-11-11,46.0,90.0,141.0
123,KS_WICHITA,2022-11-18,66.0,100.0,170.0
124,KS_WICHITA,2022-11-25,79.0,134.0,224.0
125,KS_WICHITA,2022-12-02,101.0,159.0,291.0
126,KS_WICHITA,2022-12-09,117.0,102.0,253.0
127,KS_WICHITA,2022-12-16,85.0,111.0,216.0
128,KS_WICHITA,2022-12-23,112.0,134.0,270.0
129,KS_WICHITA,2022-12-30,85.0,127.0,248.0
130,KS_WICHITA,2023-01-06,70.0,162.0,267.0
131,KS_WICHITA,2023-01-13,38.0,147.0,206.0
132,KS_WICHITA,2023-01-20,46.0,103.0,153.0
133,KS_WICHITA,2023-01-27,38.0,121.0,159.0
134,KS_WICHITA,2023-02-03,62.0,158.0,229.0
135,KS_WICHITA,2023-02-10,42.0,98.0,149.0
136,KS_WICHITA,2023-02-17,43.0,113.0,178.0
137,KS_WICHITA,2023-02-24,44.0,66.0,123.0
138,KS_WICHITA,2023-03-03,9.0,39.0,52.0
