,loc,datetime,110107,110164,total_cnts
128,GA_MACON,2020-07-10,0.0,81.0,91.0
129,GA_MACON,2020-07-17,0.0,332.0,372.0
130,GA_MACON,2020-07-24,0.0,355.0,381.0
131,GA_MACON,2020-07-31,0.0,365.0,401.0
132,GA_MACON,2020-08-07,0.0,340.0,364.0
133,GA_MACON,2020-08-14,0.0,288.0,326.0
134,GA_MACON,2020-08-21,0.0,234.0,245.0
135,GA_MACON,2020-08-28,0.0,143.0,164.0
136,GA_MACON,2020-09-04,0.0,135.0,150.0
137,GA_MACON,2020-09-11,0.0,117.0,123.0
138,GA_MACON,2020-09-18,0.0,123.0,128.0
0,GA_MACON,2020-09-25,177.0,123.0,305.0
1,GA_MACON,2020-10-02,293.0,140.0,433.0
2,GA_MACON,2020-10-09,221.0,166.0,399.0
3,GA_MACON,2020-10-16,212.0,171.0,400.0
4,GA_MACON,2020-10-23,202.0,197.0,399.0
5,GA_MACON,2020-10-30,131.0,184.0,315.0
6,GA_MACON,2020-11-06,203.0,149.0,352.0
7,GA_MACON,2020-11-13,211.0,151.0,367.0
8,GA_MACON,2020-11-20,202.0,122.0,337.0
9,GA_MACON,2020-11-27,209.0,136.0,345.0
10,GA_MACON,2020-12-04,221.0,174.0,424.0
11,GA_MACON,2020-12-11,304.0,248.0,579.0
12,GA_MACON,2020-12-18,411.0,275.0,698.0
13,GA_MACON,2020-12-25,607.0,386.0,1023.0
14,GA_MACON,2021-01-01,770.0,496.0,1298.0
15,GA_MACON,2021-01-08,895.0,526.0,1452.0
16,GA_MACON,2021-01-15,864.0,525.0,1425.0
17,GA_MACON,2021-01-22,710.0,500.0,1271.0
18,GA_MACON,2021-01-29,565.0,461.0,1087.0
19,GA_MACON,2021-02-05,546.0,395.0,978.0
20,GA_MACON,2021-02-12,466.0,317.0,818.0
21,GA_MACON,2021-02-19,280.0,201.0,528.0
22,GA_MACON,2021-02-26,39.0,182.0,240.0
23,GA_MACON,2021-03-05,205.0,179.0,394.0
24,GA_MACON,2021-03-12,154.0,110.0,270.0
25,GA_MACON,2021-03-19,111.0,112.0,235.0
26,GA_MACON,2021-03-26,130.0,90.0,225.0
27,GA_MACON,2021-04-02,117.0,65.0,182.0
28,GA_MACON,2021-04-09,72.0,73.0,153.0
29,GA_MACON,2021-04-16,66.0,77.0,149.0
30,GA_MACON,2021-04-23,83.0,61.0,144.0
31,GA_MACON,2021-04-30,88.0,45.0,138.0
32,GA_MACON,2021-05-07,89.0,47.0,142.0
33,GA_MACON,2021-05-14,60.0,46.0,126.0
34,GA_MACON,2021-05-21,59.0,51.0,110.0
35,GA_MACON,2021-05-28,65.0,58.0,128.0
36,GA_MACON,2021-06-04,63.0,65.0,133.0
37,GA_MACON,2021-06-11,56.0,54.0,110.0
38,GA_MACON,2021-06-18,23.0,27.0,50.0
39,GA_MACON,2021-06-25,23.0,26.0,53.0
40,GA_MACON,2021-07-02,43.0,9.0,52.0
41,GA_MACON,2021-07-09,72.0,20.0,92.0
42,GA_MACON,2021-07-16,170.0,40.0,222.0
43,GA_MACON,2021-07-23,235.0,82.0,342.0
44,GA_MACON,2021-07-30,452.0,169.0,687.0
45,GA_MACON,2021-08-06,608.0,270.0,957.0
46,GA_MACON,2021-08-13,783.0,314.0,1180.0
47,GA_MACON,2021-08-20,881.0,417.0,1427.0
48,GA_MACON,2021-08-27,923.0,364.0,1446.0
49,GA_MACON,2021-09-03,889.0,363.0,1365.0
50,GA_MACON,2021-09-10,823.0,404.0,1334.0
51,GA_MACON,2021-09-17,714.0,318.0,1113.0
52,GA_MACON,2021-09-24,542.0,256.0,881.0
53,GA_MACON,2021-10-01,396.0,215.0,637.0
54,GA_MACON,2021-10-08,85.0,185.0,294.0
55,GA_MACON,2021-10-15,170.0,145.0,324.0
56,GA_MACON,2021-10-22,155.0,85.0,255.0
57,GA_MACON,2021-10-29,96.0,34.0,146.0
58,GA_MACON,2021-11-05,108.0,22.0,140.0
59,GA_MACON,2021-11-12,71.0,4.0,89.0
60,GA_MACON,2021-11-19,54.0,15.0,85.0
61,GA_MACON,2021-11-26,59.0,14.0,80.0
62,GA_MACON,2021-12-03,59.0,13.0,89.0
63,GA_MACON,2021-12-10,92.0,25.0,117.0
64,GA_MACON,2021-12-17,119.0,46.0,175.0
65,GA_MACON,2021-12-24,180.0,58.0,254.0
66,GA_MACON,2021-12-31,409.0,151.0,584.0
67,GA_MACON,2022-01-07,600.0,251.0,907.0
68,GA_MACON,2022-01-14,788.0,360.0,1244.0
69,GA_MACON,2022-01-21,755.0,373.0,1201.0
70,GA_MACON,2022-01-28,602.0,398.0,1043.0
71,GA_MACON,2022-02-04,441.0,349.0,834.0
72,GA_MACON,2022-02-11,234.0,217.0,465.0
73,GA_MACON,2022-02-18,140.0,181.0,335.0
74,GA_MACON,2022-02-25,81.0,136.0,231.0
75,GA_MACON,2022-03-04,50.0,106.0,167.0
76,GA_MACON,2022-03-11,39.0,58.0,110.0
77,GA_MACON,2022-03-18,53.0,32.0,96.0
78,GA_MACON,2022-03-25,37.0,12.0,56.0
79,GA_MACON,2022-04-01,16.0,7.0,23.0
80,GA_MACON,2022-04-08,11.0,7.0,25.0
81,GA_MACON,2022-04-15,12.0,7.0,24.0
82,GA_MACON,2022-04-22,11.0,12.0,23.0
83,GA_MACON,2022-04-29,21.0,13.0,39.0
84,GA_MACON,2022-05-06,21.0,12.0,33.0
85,GA_MACON,2022-05-13,21.0,22.0,48.0
86,GA_MACON,2022-05-20,21.0,19.0,47.0
87,GA_MACON,2022-05-27,31.0,6.0,48.0
88,GA_MACON,2022-06-03,54.0,0.0,54.0
89,GA_MACON,2022-06-10,61.0,17.0,78.0
90,GA_MACON,2022-06-17,64.0,12.0,76.0
91,GA_MACON,2022-06-24,127.0,25.0,157.0
92,GA_MACON,2022-07-01,128.0,11.0,152.0
93,GA_MACON,2022-07-08,128.0,17.0,166.0
94,GA_MACON,2022-07-15,162.0,47.0,224.0
95,GA_MACON,2022-07-22,171.0,68.0,259.0
96,GA_MACON,2022-07-29,162.0,68.0,237.0
97,GA_MACON,2022-08-05,148.0,59.0,212.0
98,GA_MACON,2022-08-12,139.0,59.0,198.0
99,GA_MACON,2022-08-19,86.0,68.0,154.0
100,GA_MACON,2022-08-26,161.0,36.0,216.0
101,GA_MACON,2022-09-02,123.0,31.0,166.0
102,GA_MACON,2022-09-09,119.0,27.0,146.0
103,GA_MACON,2022-09-16,134.0,10.0,148.0
104,GA_MACON,2022-09-23,101.0,13.0,114.0
105,GA_MACON,2022-09-30,82.0,11.0,103.0
106,GA_MACON,2022-10-07,24.0,8.0,32.0
107,GA_MACON,2022-10-14,39.0,9.0,48.0
108,GA_MACON,2022-10-21,34.0,15.0,49.0
109,GA_MACON,2022-10-28,45.0,15.0,60.0
110,GA_MACON,2022-11-04,48.0,20.0,68.0
111,GA_MACON,2022-11-11,51.0,12.0,63.0
112,GA_MACON,2022-11-18,40.0,4.0,44.0
113,GA_MACON,2022-11-25,29.0,22.0,55.0
114,GA_MACON,2022-12-02,29.0,23.0,57.0
115,GA_MACON,2022-12-09,25.0,28.0,59.0
116,GA_MACON,2022-12-16,17.0,30.0,54.0
117,GA_MACON,2022-12-23,101.0,57.0,166.0
118,GA_MACON,2022-12-30,128.0,121.0,261.0
119,GA_MACON,2023-01-06,127.0,84.0,235.0
120,GA_MACON,2023-01-13,144.0,71.0,234.0
121,GA_MACON,2023-01-20,124.0,61.0,194.0
122,GA_MACON,2023-01-27,85.0,54.0,139.0
123,GA_MACON,2023-02-03,58.0,56.0,122.0
124,GA_MACON,2023-02-10,91.0,62.0,160.0
125,GA_MACON,2023-02-17,65.0,68.0,147.0
126,GA_MACON,2023-02-24,38.0,47.0,93.0
127,GA_MACON,2023-03-03,11.0,0.0,11.0
